# SPDX-FileCopyrightText: 2025 Koen van Greevenbroek
#
# SPDX-License-Identifier: CC-BY-4.0
country,product,feed_category,multiplier
ARG,meat-pig,monogastric_grain,1.0
ARG,meat-pig,monogastric_low_quality,1.0
ARG,meat-pig,monogastric_protein,1.0
ARG,meat-sheep,ruminant_forage,1.0
ARG,meat-sheep,ruminant_grain,1.0
ARG,meat-sheep,ruminant_protein,1.0
ARG,meat-sheep,ruminant_roughage,1.0
ARM,dairy,ruminant_forage,2.0
ARM,dairy,ruminant_grain,1.0
ARM,dairy,ruminant_protein,1.0
ARM,dairy,ruminant_roughage,1.0
ARM,dairy-buffalo,ruminant_forage,2.0
ARM,dairy-buffalo,ruminant_grain,1.0
ARM,dairy-buffalo,ruminant_protein,1.0
ARM,dairy-buffalo,ruminant_roughage,1.0
ARM,eggs,monogastric_grain,1.0
ARM,eggs,monogastric_low_quality,1.0
ARM,eggs,monogastric_protein,1.0
ARM,meat-cattle,ruminant_forage,2.0
ARM,meat-cattle,ruminant_grain,1.0
ARM,meat-cattle,ruminant_protein,1.0
ARM,meat-cattle,ruminant_roughage,1.0
ARM,meat-chicken,monogastric_grain,1.0
ARM,meat-chicken,monogastric_low_quality,1.0
ARM,meat-chicken,monogastric_protein,1.0
ARM,meat-pig,monogastric_grain,1.0
ARM,meat-pig,monogastric_low_quality,1.0
ARM,meat-pig,monogastric_protein,1.0
ARM,meat-sheep,ruminant_forage,2.0
ARM,meat-sheep,ruminant_grain,1.0
ARM,meat-sheep,ruminant_protein,1.0
ARM,meat-sheep,ruminant_roughage,1.0
ASM,dairy,ruminant_forage,1.0
ASM,dairy,ruminant_grain,1.0
ASM,dairy,ruminant_protein,1.0
ASM,dairy,ruminant_roughage,1.0
ASM,dairy-buffalo,ruminant_forage,1.0
ASM,dairy-buffalo,ruminant_grain,1.0
ASM,dairy-buffalo,ruminant_protein,1.0
ASM,dairy-buffalo,ruminant_roughage,1.0
ASM,eggs,monogastric_grain,1.0
ASM,eggs,monogastric_low_quality,1.0
ASM,eggs,monogastric_protein,1.0
ASM,meat-cattle,ruminant_forage,1.0
ASM,meat-cattle,ruminant_grain,1.0
ASM,meat-cattle,ruminant_protein,1.0
ASM,meat-cattle,ruminant_roughage,1.0
ASM,meat-chicken,monogastric_grain,1.0
ASM,meat-chicken,monogastric_low_quality,1.0
ASM,meat-chicken,monogastric_protein,1.0
ASM,meat-pig,monogastric_grain,1.0
ASM,meat-pig,monogastric_low_quality,1.0
ASM,meat-pig,monogastric_protein,1.0
ASM,meat-sheep,ruminant_forage,1.0
ASM,meat-sheep,ruminant_grain,1.0
ASM,meat-sheep,ruminant_protein,1.0
ASM,meat-sheep,ruminant_roughage,1.0
ATG,dairy,ruminant_forage,1.3666129595677308
ATG,dairy,ruminant_grain,1.0
ATG,dairy,ruminant_protein,1.0
