# Crop-to-food conversion pathways
#
# Each pathway transforms one crop into one or more food products.
# Multiple pathways for the same crop represent alternative processing options.
# The model will choose which pathways to activate based on demand and costs.
#
# Conversion factors should sum to <= 1.0 per pathway (mass balance with losses).
# Sources are primarily from FAO Nutrient Conversion Table for SUA (2024), sheet 03,
# and FAO Technical Conversion Factors for processing extraction rates.
#
# Source URL aliases used in the url column:
# - FAO_SUA_NCT_2024: https://www.fao.org/food-composition/tables-and-databases/detail/global-nutrient-conversion-table-for-fao-supply-utilization-accounts/en
# - FAO_TCF: https://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
# - FAO_GAEZ: https://www.fao.org/gaez/en
# - FAO_PALM_PROCESSING: https://www.fao.org/4/y4355e/y4355e04.htm
# - GAEZ_OLIVE_OIL_BASIS: https://github.com/un-fao/gaezv5/wiki/08.-Module-VI-(Actual-yield-and-production)
#                         (Module VI OOC group reports yield in oil-equivalent t/ha;
#                          v4 Model Documentation Table 9-2 documents the same convention.)
# - USDA_ARS_DDGS: https://www.ars.usda.gov/research/publications/publication/?seqNo115=243737
# - GLEAM_TABLE_3_3: data/bundled/gleam3/ruminants_feed_yield_fractions.csv
# - NCC_COTTONSEED: https://www.cotton.org/pubs/cottoncounts/fieldtofabric/cottonseed.cfm
# - FEEDIPEDIA_COPRA: https://www.feedipedia.org/node/46
#
# Per-crop "food_conversion" handling (inverse_moisture vs identity) lives in
# data/curated/crop_moisture_content.csv -- see that file for semantics.
#
# Columns:
# - pathway: unique identifier for the processing pathway
# - crop: input crop name (must match config crops list)
# - food: output food product name
# - factor: conversion factor (mass of food output per unit mass of crop input)
# - description: explanation of the conversion and source reference
# - url: source URL alias from above; blank when no external source is needed
#
pathway,crop,food,factor,description,url
sunflower_oil,sunflower,sunflower-oil,0.35,Oil extraction from sunflower seed (FAO Technical Conversion Factors),FAO_TCF
sunflower_oil,sunflower,oilseed-meal,0.55,Oilcake byproduct from sunflower oil extraction (FAO Technical Conversion Factors),FAO_TCF
sunflower_seed,sunflower,sunflower-seed,1.0,No processing (shell accounted for by edible portion),
rapeseed_oil,rapeseed,rapeseed-oil,0.38,Oil extraction from rapeseed (FAO SUA 2024 sheet 03),FAO_SUA_NCT_2024
rapeseed_oil,rapeseed,rapeseed-meal,0.5,Meal from oil extraction (FAO SUA 2024 sheet 03),FAO_SUA_NCT_2024
palm_oil,oil-palm,palm-oil,0.24,Oil extraction from fresh fruit bunches (FAO palm oil processing guide),FAO_PALM_PROCESSING
olive_oil,olive,olive-oil,1.0,GAEZ RES06 OOC olive yield is reported in oil-equivalent t/ha so the olive crop bus carries oil tonnes directly; this pathway is 1:1,GAEZ_OLIVE_OIL_BASIS
sugarcane_sugar,sugarcane,sugar,0.14,Sucrose extraction retained from GAEZ v5 yield convention,FAO_GAEZ
sugarcane_ethanol,sugarcane,sugarcane-ethanol,0.87,Fuel-equivalent DM fraction retained as complement to molasses fraction,GLEAM_TABLE_3_3
sugarcane_ethanol,sugarcane,molasses,0.13,Molasses byproduct from sugarcane ethanol (GLEAM Table 3.3),GLEAM_TABLE_3_3
maize_ethanol,maize,maize-ethanol,0.68,Fuel-equivalent DM fraction retained as complement to DDGS fraction,USDA_ARS_DDGS
maize_ethanol,maize,ddgs,0.32,DDGS byproduct from corn ethanol (USDA ARS reports about 18 lb DDGS per 56 lb corn bushel),USDA_ARS_DDGS
cocoa_beans,cocoa,cocoa-powder,1.0,Dried cocoa beans (no further processing modeled),
coffee_green_beans,coffee,coffee-green,1.0,Green coffee beans (no further processing modeled),
tea_dried_leaves,tea,tea-dried,1.0,Dried tea leaves (no further processing modeled),
sugarbeet_sugar,sugarbeet,sugar,0.1,Sucrose extraction retained from GAEZ v5 yield convention,FAO_GAEZ
cotton_ginning,cotton,cotton-lint,0.38,Cotton lint from ginning; National Cotton Council reports 100 lb lint with about 162 lb cottonseed,NCC_COTTONSEED
cotton_ginning,cotton,cottonseed-oil,0.107,Cottonseed oil from seed-cotton seed fraction and FAO cottonseed oil extraction rate,"NCC_COTTONSEED;FAO_TCF"
cotton_ginning,cotton,oilseed-meal,0.296,Cottonseed meal from seed-cotton seed fraction and FAO cottonseed cake extraction rate,"NCC_COTTONSEED;FAO_TCF"
