crop,country,correction_bnusd_per_mha
alfalfa,AFG,-0.005529949441552162
alfalfa,AGO,-0.035136790946125984
alfalfa,ALB,0.11655822116881609
alfalfa,ARE,0.5388597548007965
alfalfa,ARG,0.5319982171058655
alfalfa,ARM,0.5157829374074936
alfalfa,AUS,0.22604849189519882
alfalfa,AUT,0.44286276400089264
alfalfa,AZE,-0.02665652148425579
alfalfa,BDI,-0.03611671179533005
alfalfa,BEL,2.0565357208251953
alfalfa,BEN,-0.057830290868878365
alfalfa,BGD,-0.1319561004638672
alfalfa,BGR,0.09729521721601486
alfalfa,BHS,0.2902926504611969
alfalfa,BIH,0.07835890352725983
alfalfa,BLR,0.5155409574508667
alfalfa,BLZ,-0.043171489611268044
alfalfa,BOL,-0.007973850704729557
alfalfa,BRA,0.05305560305714607
alfalfa,BRB,0.1265825629234314
alfalfa,BRN,-0.04256395995616913
alfalfa,BTN,0.1170009970664978
alfalfa,BWA,-2.3442585468292236
alfalfa,CAF,-0.046596428379416466
alfalfa,CAN,-0.01051735831424594
alfalfa,CHE,0.654998779296875
alfalfa,CHL,0.2549038454890251
alfalfa,CHN,0.23099328577518463
alfalfa,CIV,-0.021182932890951633
alfalfa,CMR,-0.044288260862231255
alfalfa,COD,-0.059463515877723694
alfalfa,COG,-0.0263237738981843
alfalfa,COL,0.03475404530763626
alfalfa,COM,-0.03197270445525646
alfalfa,CRI,0.13595020025968552
alfalfa,CUB,0.04066217876970768
alfalfa,CYP,-0.05067078582942486
alfalfa,CZE,0.15251374244689941
alfalfa,DEU,0.36046038568019867
alfalfa,DJI,-0.12407548725605011
alfalfa,DNK,1.2496560215950012
alfalfa,DOM,0.061466433107852936
alfalfa,DZA,0.8409851491451263
alfalfa,ECU,0.11173239350318909
alfalfa,EGY,0.03093989845365286
alfalfa,ERI,-0.09257428348064423
alfalfa,ESP,0.10818561539053917
alfalfa,EST,-50.0
alfalfa,ETH,-0.041635459288954735
alfalfa,FJI,0.06571049243211746
alfalfa,FRA,0.33902697265148163
alfalfa,GAB,-0.01107622031122446
alfalfa,GBR,0.24256622791290283
alfalfa,GEO,-0.05887501873075962
alfalfa,GHA,-0.04972636327147484
alfalfa,GIN,-0.05405285768210888
alfalfa,GNQ,-0.013852743431925774
alfalfa,GRC,-0.03155537787824869
alfalfa,GRD,-0.03623760957270861
alfalfa,GTM,0.003065824043005705
alfalfa,GUF,-0.18889334052801132
alfalfa,GUY,0.06258677877485752
alfalfa,HND,0.17925236374139786
alfalfa,HRV,0.5270503610372543
alfalfa,HTI,0.03850163612514734
alfalfa,HUN,-0.027562517672777176
alfalfa,IDN,0.0268696965649724
alfalfa,IND,0.021061202511191368
alfalfa,IRL,0.12144555151462555
alfalfa,IRN,-0.013447984587401152
alfalfa,IRQ,0.2444078028202057
alfalfa,ISR,-0.21911831200122833
alfalfa,ITA,0.5985487550497055
alfalfa,JAM,-0.025751238223165274
alfalfa,JOR,-0.40877316892147064
alfalfa,JPN,0.540775328874588
alfalfa,KAZ,-0.25399258732795715
alfalfa,KEN,0.02279561012983322
alfalfa,KGZ,0.029062258079648018
alfalfa,KHM,-0.022327906219288707
alfalfa,KOR,-0.00507704634219408
alfalfa,LAO,0.01524341618642211
alfalfa,LBN,0.25714243948459625
alfalfa,LBR,-0.033894097432494164
alfalfa,LBY,0.02375246025621891
alfalfa,LKA,-0.03508882038295269
alfalfa,LSO,-0.16844256222248077
alfalfa,LTU,0.48574210703372955
alfalfa,LUX,0.40602847933769226
alfalfa,LVA,-0.022264979779720306
alfalfa,MAR,0.0923273116350174
alfalfa,MDA,0.09361335262656212
alfalfa,MDG,-0.05456292815506458
alfalfa,MEX,0.5912815630435944
alfalfa,MKD,0.31129106879234314
alfalfa,MLT,0.2840299606323242
alfalfa,MMR,0.06152920797467232
alfalfa,MNE,0.20740379393100739
alfalfa,MNG,-0.059765420854091644
alfalfa,MOZ,-0.06991086900234222
alfalfa,MRT,0.01867756061255932
alfalfa,MUS,0.005284237558953464
alfalfa,MWI,-0.022825883701443672
alfalfa,MYS,-0.007585529470816255
alfalfa,NAM,-1.0056430101394653
alfalfa,NGA,-0.045747874304652214
alfalfa,NIC,0.010484764352440834
alfalfa,NLD,3.0137499570846558
alfalfa,NOR,-24.909548424184322
alfalfa,NPL,-0.07884455472230911
alfalfa,NZL,0.2115933522582054
alfalfa,OMN,0.14314503595232964
alfalfa,PAK,-0.004571631783619523
alfalfa,PAN,0.12177358567714691
alfalfa,PER,0.9205910861492157
alfalfa,PHL,0.09903667494654655
alfalfa,PNG,0.08335499092936516
alfalfa,POL,0.39543627202510834
alfalfa,PRI,0.17552297562360764
alfalfa,PRT,2.037736475467682
alfalfa,PRY,1.9966543912887573
alfalfa,PSE,-0.03779672086238861
alfalfa,ROU,0.06387101300060749
alfalfa,RUS,-0.1136133223772049
alfalfa,RWA,0.013805439695715904
alfalfa,SAU,-0.03598651476204395
alfalfa,SDN,-0.06381529569625854
alfalfa,SEN,-0.24770501255989075
alfalfa,SLB,0.05119800381362438
alfalfa,SLE,0.012859766837209463
alfalfa,SLV,-24.925794057548046
alfalfa,SOM,0.009203877300024033
alfalfa,SRB,0.42141054570674896
alfalfa,SSD,0.0833219662308693
alfalfa,STP,0.01509682834148407
alfalfa,SUR,-0.11602794751524925
alfalfa,SVK,0.10765684396028519
alfalfa,SVN,0.020804627798497677
alfalfa,SWE,0.3661733567714691
alfalfa,SWZ,-0.05852434225380421
alfalfa,SYR,0.12597999721765518
alfalfa,TGO,-0.01717621646821499
alfalfa,THA,0.06280659325420856
alfalfa,TJK,-0.18926586210727692
alfalfa,TKM,-0.22672231495380402
alfalfa,TLS,-0.05119588039815426
alfalfa,TTO,0.004761435091495514
alfalfa,TUN,-25.240760758519173
