country,correction_bnusd_per_mha
AFG,1.0285317042502129e-10
AGO,-0.3685210794210434
ALB,0.04497191123664379
ARE,0.0
ARG,-0.149925597012043
ARM,0.0
ATG,0.0
AUS,-0.00915704108774662
AUT,0.0
AZE,0.9814981520175934
BDI,-0.48811182379722595
BEL,0.08367127552628517
BEN,3.2785658836364746
BFA,1.5074808597564697
BGD,0.0
BGR,-0.22096917033195496
BHS,4.3433148744220773e-10
BIH,-0.42985886335372925
BLR,0.011688394472002983
BLZ,-0.8535727262496948
BOL,-0.5958932638168335
BRA,-0.3751921057701111
BRB,0.9317607879638672
BRN,7.141561985015869
BTN,-0.30002422630786896
BWA,0.0
CAF,3.2490773627102953e-08
CAN,-0.21738236397504807
CHE,0.0
CHL,-0.0009876639232970774
CHN,-9.942733303347495e-10
CIV,-0.503073513507843
CMR,4.431897163391113
COD,-0.7558623552322388
COG,-0.8903338015079498
COL,-0.7592038810253143
COM,1.4762386679649353
CPV,0.0
CRI,-0.09060221165418625
CUB,-0.1725609302520752
CYP,0.30934228003025055
CZE,-0.006804863223806024
DEU,-0.2437824308872223
DJI,0.0
DNK,1.8209227323532104
DOM,-1.4828121619459012e-08
DZA,1.8697272896606165e-10
ECU,-0.10834560729563236
EGY,0.0
ERI,-0.036436695605516434
ESP,4.5370475432182644e-10
EST,-0.25669121742248535
ETH,1.5634718408819026e-08
FIN,1.712095022201538
FJI,-0.7755072712898254
FRA,-2.7449107875554546e-08
GAB,-0.8109605014324188
GBR,0.0
GEO,-0.2034044936299324
GHA,-0.5135024040937424
GIN,-0.15879005938768387
GMB,1.2291799783706665
GNB,1.1270533204078674
GNQ,-0.7098988890647888
GRC,-0.09379514306783676
GRD,0.6720268130302429
GTM,5.198906860570673e-10
GUF,-1.0722496509552002
GUY,-1.106971263885498
HND,-0.5874203741550446
HRV,0.0
HTI,-6.526291063124745e-09
HUN,-0.4170793741941452
IDN,-0.5079740881919861
IND,1.584054708480835
IRL,0.0
IRN,0.0
IRQ,0.0
ISL,-0.06565051525831223
ISR,0.7160363793373108
ITA,0.29519903659820557
JAM,3.780540943145752
JOR,0.0
JPN,-0.4974181354045868
KAZ,0.0
KEN,-0.12902680039405823
KGZ,-1.187652864942379e-09
KHM,-0.27926672995090485
KOR,3.1221169233322144
LAO,-3.513972668400811e-09
LBN,0.5231764614582062
LBR,-0.7535805702209473
LBY,0.0
LKA,-4.2231160790606737e-08
LSO,-0.4797108322381973
LTU,-1.0227096947090786e-10
LUX,0.061516094487160444
LVA,-0.3037813901901245
MAR,0.0
MDA,-0.36603914201259613
MDG,-0.6528348624706268
MEX,6.248633832584005e-09
MKD,-0.1847551316022873
MLI,-0.04440104402601719
MLT,0.0
MMR,0.7816084325313568
MNE,-0.157601498067379
MNG,-0.02809592429548502
MOZ,-0.5656761825084686
MRT,-2.2212138378607804e-11
MUS,2.5759505639655345e-09
MWI,-0.19057554006576538
MYS,-9.89881137059001e-08
NAM,-0.006840692600235343
NER,0.0
NGA,-0.19652122259140015
NIC,-0.5845303535461426
NLD,0.7907610237598419
NOR,0.583920419216156
NPL,0.0
NZL,0.0
OMN,0.0
PAK,1.424497075852571e-09
PAN,-0.10266764834523201
PER,-0.6257849335670471
PHL,-0.12064796686172485
PNG,-0.7848113179206848
POL,0.019568821415305138
PRI,-6.72518289945856e-08
PRT,-0.09565510042011738
PRY,-0.5369450151920319
PSE,0.7072950899600983
ROU,-0.4245498776435852
RUS,-1.0847077902553792e-08
RWA,6.476653575897217
SAU,0.0
SDN,-0.023131180554628372
SEN,0.3793909251689911
SLB,1.598713561534737e-08
SLE,-0.4092519134283066
SLV,3.6254513263702393
SOM,-4.7665072999691915e-09
SRB,-0.295737162232399
SSD,-0.2969408631324768
STP,0.6137635111808777
SUR,6.86613392829895
SVK,-0.4092821776866913
SVN,1.956440476291732e-08
SWE,1.7676981091499329
SWZ,-1.973749874650821e-08
SYR,0.14269284904003143
TCD,-0.07812828943133354
TGO,-0.46927402913570404
THA,0.0
TJK,0.3895326554775238
TKM,-9.089148877983177e-10
TLS,-0.3032049834728241
TTO,8.520019217916897e-09
TUN,0.3667435646057129
TUR,1.1556978225708008
TWN,-0.1748160943388939
TZA,-0.06839879974722862
UGA,-0.6480332314968109
UKR,0.06035628356039524
URY,-0.21174990385770798
USA,-0.4049943536520004
UZB,1.0099180340766907
VEN,-0.26628775894641876
VNM,5.704484701156616
VUT,-0.13240307196974754
YEM,0.0
ZAF,0.0
ZMB,-0.15246352553367615
ZWE,1.0522664785385132
