product,country,correction_bnusd_per_mt_feed
dairy,AFG,0.019429629668593407
dairy,AGO,-0.14344584196805954
dairy,ALB,-0.023533342871814966
dairy,ARE,-0.04143645071235369
dairy,ARG,-0.19398537278175354
dairy,ARM,-0.011384313460439444
dairy,ASM,-0.0
dairy,ATG,-0.24454953521490097
dairy,AUS,-0.05782910343259573
dairy,AUT,0.008029387099668384
dairy,AZE,-0.10857096128165722
dairy,BDI,-0.19728994369506836
dairy,BEL,-0.04548066761344671
dairy,BEN,-0.2638223394751549
dairy,BFA,-0.269638791680336
dairy,BGD,-0.06376965902745724
dairy,BGR,0.030918722972273827
dairy,BHS,-0.13557196035981178
dairy,BIH,0.12179218605160713
dairy,BLR,-0.034614475443959236
dairy,BLZ,-0.2122793346643448
dairy,BOL,-0.2064630165696144
dairy,BRA,-0.170407272875309
dairy,BRB,-0.3012048602104187
dairy,BRN,-0.06272971606813371
dairy,BTN,-0.19480304047465324
dairy,BWA,-0.24311847239732742
dairy,CAF,-0.14549646526575089
dairy,CAN,-0.08521859161555767
dairy,CHE,-0.03879193961620331
dairy,CHL,-0.18294814229011536
dairy,CHN,0.14896606653928757
dairy,CIV,-0.2627760320901871
dairy,CMR,-0.2687765583395958
dairy,COD,-0.13804767839610577
dairy,COG,-0.1433083601295948
dairy,COL,-0.2351013422012329
dairy,COM,-0.12192871049046516
dairy,CPV,-0.23724471777677536
dairy,CRI,-0.05980869010090828
dairy,CUB,-0.2101064920425415
dairy,CYP,0.023470744490623474
dairy,CZE,-0.0012322113616392016
dairy,DEU,-0.000984611688181758
dairy,DJI,-0.0307138804346323
dairy,DNK,-0.02052507922053337
dairy,DOM,-0.06886794418096542
dairy,DZA,-0.04815932270139456
dairy,ECU,-0.17810802161693573
dairy,EGY,-0.1400747150182724
dairy,ERI,-0.12191927060484886
dairy,ESP,-0.07785327918827534
dairy,EST,-0.0013701971620321274
dairy,ETH,-0.15060389414429665
dairy,FIN,0.07162491045892239
dairy,FJI,-0.07856539636850357
dairy,FRA,-0.07695738971233368
dairy,GAB,-0.09453262016177177
dairy,GBR,0.005195342469960451
dairy,GEO,-0.061261977069079876
dairy,GHA,-0.2660602629184723
dairy,GIN,-0.13472575321793556
dairy,GMB,-0.24835162609815598
dairy,GNB,-0.2703486606478691
dairy,GNQ,-0.0
dairy,GRC,-0.011651250533759594
dairy,GRD,-0.26645299792289734
dairy,GTM,-0.17119775712490082
dairy,GUF,-0.0
dairy,GUY,-0.20975037664175034
dairy,HND,-0.17513011395931244
dairy,HRV,-0.012483799830079079
dairy,HTI,-0.04040829837322235
dairy,HUN,0.0047488147392869
dairy,IDN,-0.07947330176830292
dairy,IND,-0.13518212735652924
dairy,IRL,-0.07643910497426987
dairy,IRN,0.012022069655358791
dairy,IRQ,-0.18654124438762665
dairy,ISL,-0.1321047767996788
dairy,ISR,-0.1253916546702385
dairy,ITA,-0.01128673367202282
dairy,JAM,-0.05617798492312431
dairy,JOR,0.07839963957667351
dairy,JPN,0.1331169605255127
dairy,KAZ,0.02844948787242174
dairy,KEN,-0.1234113797545433
dairy,KGZ,0.17862170189619064
dairy,KHM,-0.0774066373705864
dairy,KOR,0.1833977848291397
dairy,LAO,-0.06888186559081078
dairy,LBN,0.06968764960765839
dairy,LBR,-0.10710962116718292
dairy,LBY,-0.05695127695798874
dairy,LKA,-0.00494186719879508
dairy,LSO,-0.18405035138130188
dairy,LTU,0.026316655799746513
dairy,LUX,-0.03983202949166298
dairy,LVA,0.018532104790210724
dairy,MAR,-0.20673362165689468
dairy,MDA,-0.002309698611497879
dairy,MDG,-0.12068253196775913
dairy,MEX,-0.05552579369395971
dairy,MKD,-0.010522140190005302
dairy,MLI,-0.2076418176293373
dairy,MLT,-0.059369830414652824
dairy,MMR,-0.056584956124424934
dairy,MNE,0.12012782692909241
dairy,MNG,-0.016167042776942253
dairy,MOZ,-0.15593316406011581
dairy,MRT,-0.16157327219843864
dairy,MUS,-0.09081005305051804
dairy,MWI,-0.13882508501410484
