crop,country,correction_bnusd_per_mha
alfalfa,AFG,0.08881925791501999
alfalfa,AGO,-0.07128143310546875
alfalfa,ALB,-21.821754455566406
alfalfa,ARE,0.18400245904922485
alfalfa,ARG,0.12900424003601074
alfalfa,ARM,0.046337880194187164
alfalfa,AUS,-0.11714162677526474
alfalfa,AUT,-10.892128467559814
alfalfa,AZE,-0.04854206368327141
alfalfa,BDI,-0.06285149604082108
alfalfa,BEL,-34.26747512817383
alfalfa,BEN,-0.09153811633586884
alfalfa,BGD,-0.058417294174432755
alfalfa,BGR,0.1526605263352394
alfalfa,BHS,0.9390814304351807
alfalfa,BIH,0.004112305119633675
alfalfa,BLR,0.016394859179854393
alfalfa,BLZ,0.7002278566360474
alfalfa,BOL,-0.04845799319446087
alfalfa,BRA,0.2141430526971817
alfalfa,BRB,0.8414775133132935
alfalfa,BRN,-0.06343481689691544
alfalfa,BTN,-0.002152029424905777
alfalfa,BWA,-50.0
alfalfa,CAF,-0.0841522216796875
alfalfa,CAN,-0.07915101200342178
alfalfa,CHE,-16.24135112762451
alfalfa,CHL,0.4291805624961853
alfalfa,CHN,0.14572341740131378
alfalfa,CIV,-0.0
alfalfa,CMR,-0.0793808065354824
alfalfa,COD,-0.0942504070699215
alfalfa,COG,-0.0692865215241909
alfalfa,COL,0.021820753812789917
alfalfa,COM,-0.07970578223466873
alfalfa,CRI,0.5619912445545197
alfalfa,CUB,0.5370170474052429
alfalfa,CYP,0.1452437788248062
alfalfa,CZE,-0.08029045909643173
alfalfa,DEU,-13.73158884048462
alfalfa,DJI,-0.07032901793718338
alfalfa,DNK,1.1426846981048584
alfalfa,DOM,0.815521627664566
alfalfa,DZA,0.12646780163049698
alfalfa,ECU,0.7746658623218536
alfalfa,EGY,-0.05152880772948265
alfalfa,ERI,-0.08307038247585297
alfalfa,ESP,-0.20803463459014893
alfalfa,EST,0.7313461303710938
alfalfa,ETH,-0.060615720227360725
alfalfa,FJI,-0.03338564746081829
alfalfa,FRA,0.4002179801464081
alfalfa,GAB,0.003958865941967815
alfalfa,GBR,-0.0
alfalfa,GEO,-0.05923152528703213
alfalfa,GHA,-0.0
alfalfa,GIN,-0.08155133575201035
alfalfa,GNQ,-0.06178123131394386
alfalfa,GRC,-4.998907566070557
alfalfa,GRD,0.24061965942382812
alfalfa,GTM,1.168045461177826
alfalfa,GUF,-0.11720093339681625
alfalfa,GUY,0.010638505686074495
alfalfa,HND,0.940713107585907
alfalfa,HRV,0.43119193613529205
alfalfa,HTI,0.6294253170490265
alfalfa,HUN,-32.6340217590332
alfalfa,IDN,0.05268786661326885
alfalfa,IND,-0.022969935089349747
alfalfa,IRL,-0.10110919177532196
alfalfa,IRN,-0.15663354098796844
alfalfa,IRQ,0.2535650134086609
alfalfa,ISR,0.11549302190542221
alfalfa,ITA,0.6343972384929657
alfalfa,JAM,0.6173613369464874
alfalfa,JOR,-0.054026346653699875
alfalfa,JPN,0.12761451303958893
alfalfa,KAZ,-0.07604808360338211
alfalfa,KEN,0.011204751208424568
alfalfa,KGZ,-0.036925533786416054
alfalfa,KHM,0.006222512340173125
alfalfa,KOR,-0.056012462824583054
alfalfa,LAO,-0.045839399099349976
alfalfa,LBN,0.5296440422534943
alfalfa,LBR,-0.036790631711483
alfalfa,LBY,-0.054377585649490356
alfalfa,LKA,-0.09356831014156342
alfalfa,LSO,-0.03411811962723732
alfalfa,LTU,0.30152949690818787
alfalfa,LUX,0.21174973249435425
alfalfa,LVA,-18.409351348876953
alfalfa,MAR,0.026522365398705006
alfalfa,MDA,-39.037078857421875
alfalfa,MDG,-0.08769578859210014
alfalfa,MEX,0.06374993920326233
alfalfa,MKD,0.024210345931351185
alfalfa,MLT,0.09947344660758972
alfalfa,MMR,-0.004225488752126694
alfalfa,MNE,0.0961933359503746
alfalfa,MNG,-0.07708735018968582
alfalfa,MOZ,-0.1031036376953125
alfalfa,MRT,-0.04019615612924099
alfalfa,MUS,-0.05399322509765625
alfalfa,MWI,-0.03218967840075493
alfalfa,MYS,0.023531273007392883
alfalfa,NAM,-0.06559395976364613
alfalfa,NGA,-0.03591156005859375
alfalfa,NIC,0.47868727147579193
alfalfa,NLD,1.0019114017486572
alfalfa,NOR,-0.0
alfalfa,NPL,-0.10548156872391701
alfalfa,NZL,0.10114288330078125
alfalfa,OMN,0.32975444942712784
