# SPDX-FileCopyrightText: 2026 Koen van Greevenbroek
#
# SPDX-License-Identifier: CC-BY-4.0
country,yield_correction
AFG,1.0
AGO,1.0
ALB,0.595255
ARE,1.0
ARG,0.583552
ARM,1.0
ATG,1.0
AUS,0.895926
AUT,0.727695
AZE,1.0
BDI,0.983855
BEL,0.754642
BEN,1.0
BFA,1.0
BGD,1.0
BGR,0.95427
BHS,1.0
BIH,0.50768
BLR,0.776326
BLZ,1.0
BOL,1.0
BRA,1.0
BRB,1.0
BRN,1.0
BTN,0.805831
BWA,1.0
CAF,1.0
CAN,0.468495
CHE,0.531606
CHL,1.0
CHN,1.0
CIV,1.0
CMR,1.0
COD,1.0
COG,0.767077
COL,0.391577
COM,1.0
CPV,1.0
CRI,1.0
CUB,0.769424
CYP,1.0
CZE,0.729389
DEU,0.558703
DJI,1.0
DNK,1.0
DOM,1.0
DZA,1.0
ECU,1.0
EGY,1.0
ERI,0.48509
ESP,1.0
EST,0.40284
ETH,1.0
FIN,1.0
FJI,0.402987
FRA,0.795733
GAB,1.0
GBR,0.450242
GEO,0.960347
GHA,1.0
GIN,1.0
GMB,1.0
GNB,1.0
GNQ,1.0
GRC,0.703322
GRD,1.0
GTM,1.0
GUF,0.0
GUY,0.743128
HND,0.811805
HRV,1.0
HTI,1.0
HUN,0.390867
IDN,1.0
IND,1.0
IRL,0.483307
IRN,1.0
IRQ,1.0
ISL,1.0
ISR,1.0
ITA,1.0
JAM,1.0
JOR,1.0
JPN,0.894869
KAZ,0.604373
KEN,0.670815
KGZ,0.949619
KHM,1.0
KOR,1.0
LAO,1.0
LBN,1.0
LBR,0.844508
LBY,1.0
LKA,1.0
LSO,0.390456
LTU,1.0
LUX,0.62175
LVA,0.205433
MAR,1.0
MDA,0.499064
MDG,0.337652
MEX,0.605249
MKD,0.746477
MLI,0.606591
MLT,1.0
MMR,1.0
MNE,0.618363
MNG,0.606411
MOZ,0.120714
MRT,1.0
MUS,1.0
MWI,1.0
MYS,1.0
NAM,0.322545
NER,1.0
NGA,1.0
NIC,0.867966
NLD,1.0
NOR,1.0
NPL,1.0
NZL,1.0
OMN,1.0
PAK,1.0
PAN,0.895906
PER,0.770185
PHL,1.0
PNG,0.771968
POL,0.731219
PRI,0.816823
PRT,0.476854
PRY,0.494782
PSE,1.0
ROU,0.450849
RUS,1.0
RWA,1.0
SAU,1.0
SDN,0.392281
SEN,1.0
SLB,1.0
SLE,0.99056
SLV,1.0
SOM,0.768841
SRB,0.782665
SSD,0.812065
STP,1.0
SUR,1.0
SVK,0.566219
SVN,0.472
SWE,1.0
SWZ,1.0
SYR,1.0
TCD,0.648312
TGO,1.0
THA,1.0
TJK,1.0
TKM,1.0
TLS,1.0
TTO,1.0
TUN,1.0
TUR,1.0
TWN,0.488985
TZA,1.0
UGA,1.0
UKR,1.0
URY,0.531904
USA,0.313283
UZB,1.0
VEN,1.0
VNM,1.0
VUT,0.254003
YEM,0.686613
ZAF,0.961304
ZMB,1.0
ZWE,1.0
