# GLEAM 3.0 country-level animal production data (reference year 2015).
# Source: FAO Global Livestock Environmental Assessment Model (GLEAM) version 3.0.
# Obtained directly from FAO upon request.
#
# SPDX-FileCopyrightText: FAO 2022
# SPDX-License-Identifier: CC-BY-4.0
ISO3,COUNTRY,VarName,Animal,LPS,Item,Element,Total,Unit
ALB,Albania,Production,Pigs,Industrial,Meat,CarcassWeight,13547236.92,kg/year
ALB,Albania,Production,Pigs,Industrial,Meat,LiveWeight,18062982.62,kg/year
ALB,Albania,Production,Pigs,Intermediate,Meat,CarcassWeight,6794284.759,kg/year
ALB,Albania,Production,Pigs,Intermediate,Meat,LiveWeight,9059046.351,kg/year
ALB,Albania,Production,Sheep,Grassland,Meat,CarcassWeight,2013056.814,kg/year
ALB,Albania,Production,Sheep,Grassland,Meat,LiveWeight,3893726.842,kg/year
ALB,Albania,Production,Sheep,Mixed,Meat,CarcassWeight,9895347.305,kg/year
ALB,Albania,Production,Sheep,Mixed,Meat,LiveWeight,19139935.93,kg/year
ALB,Albania,Production,Sheep,Grassland,Milk,Weight,14707562.25,kg/year
ALB,Albania,Production,Sheep,Mixed,Milk,Weight,72296238.54,kg/year
DZA,Algeria,Production,Cattle,Grassland,Meat,CarcassWeight,8375724.899,kg/year
DZA,Algeria,Production,Cattle,Grassland,Meat,LiveWeight,17820691.29,kg/year
DZA,Algeria,Production,Cattle,Mixed,Meat,CarcassWeight,56361764.5,kg/year
DZA,Algeria,Production,Cattle,Mixed,Meat,LiveWeight,119918648.1,kg/year
DZA,Algeria,Production,Cattle,Grassland,Milk,Weight,379343546.3,kg/year
DZA,Algeria,Production,Cattle,Mixed,Milk,Weight,2552671146,kg/year
DZA,Algeria,Production,Chicken,Backyard,Eggs,Weight,17058483.43,kg/year
DZA,Algeria,Production,Chicken,Backyard,Meat,CarcassWeight,4914746.925,kg/year
DZA,Algeria,Production,Chicken,Backyard,Meat,LiveWeight,7474447.475,kg/year
DZA,Algeria,Production,Chicken,Broiler,Meat,CarcassWeight,278932640.2,kg/year
DZA,Algeria,Production,Chicken,Broiler,Meat,LiveWeight,429127154.5,kg/year
DZA,Algeria,Production,Chicken,Layer,Eggs,Weight,523329990.7,kg/year
DZA,Algeria,Production,Chicken,Layer,Meat,CarcassWeight,88205774.87,kg/year
DZA,Algeria,Production,Chicken,Layer,Meat,LiveWeight,160374132.9,kg/year
DZA,Algeria,Production,Goats,Grassland,Meat,CarcassWeight,9587062.642,kg/year
DZA,Algeria,Production,Goats,Grassland,Meat,LiveWeight,22039147.16,kg/year
DZA,Algeria,Production,Goats,Mixed,Meat,CarcassWeight,7481129.009,kg/year
DZA,Algeria,Production,Goats,Mixed,Meat,LiveWeight,17197937.4,kg/year
DZA,Algeria,Production,Goats,Grassland,Milk,Weight,135643521.6,kg/year
DZA,Algeria,Production,Goats,Mixed,Milk,Weight,105847512,kg/year
DZA,Algeria,Production,Pigs,Backyard,Meat,CarcassWeight,50659.39975,kg/year
DZA,Algeria,Production,Pigs,Backyard,Meat,LiveWeight,77937.5409,kg/year
DZA,Algeria,Production,Pigs,Industrial,Meat,CarcassWeight,387713.6929,kg/year
DZA,Algeria,Production,Pigs,Industrial,Meat,LiveWeight,516951.5907,kg/year
DZA,Algeria,Production,Pigs,Intermediate,Meat,CarcassWeight,128330.3865,kg/year
DZA,Algeria,Production,Pigs,Intermediate,Meat,LiveWeight,171107.1819,kg/year
DZA,Algeria,Production,Sheep,Grassland,Meat,CarcassWeight,98627721,kg/year
DZA,Algeria,Production,Sheep,Grassland,Meat,LiveWeight,204621824.4,kg/year
DZA,Algeria,Production,Sheep,Mixed,Meat,CarcassWeight,85978990,kg/year
DZA,Algeria,Production,Sheep,Mixed,Meat,LiveWeight,178379644.5,kg/year
DZA,Algeria,Production,Sheep,Grassland,Milk,Weight,151394044.9,kg/year
DZA,Algeria,Production,Sheep,Mixed,Milk,Weight,146725555.6,kg/year
SDN,Sudan,Production,Cattle,Grassland,Meat,CarcassWeight,180066207.5,kg/year
